id,x,y,europe
1423,14,64,True
1424,14,65,True
1425,14,66,True
1426,14,67,True
1427,14,68,True
1428,14,69,True
1429,14,70,True
1430,14,71,True
1431,14,72,True
1432,14,73,True
1433,14,74,True
1434,14,75,True
1435,14,76,True
1436,14,77,True
1437,14,78,True
1438,14,79,True
1439,14,80,True
1440,14,81,True
1441,14,82,True
1442,14,83,True
1443,14,84,True
1444,14,85,True
1445,14,86,True
1446,14,87,True
1447,14,88,True
1448,14,89,True
1449,14,90,True
1450,14,91,True
1451,14,92,True
1452,14,93,True
1453,14,94,True
1454,14,95,True
1455,14,96,True
1456,15,0,True
1457,15,1,True
1458,15,2,True
1459,15,3,True
1460,15,4,True
1461,15,5,True
1462,15,6,True
1463,15,7,True
1464,15,8,True
1465,15,9,True
1466,15,10,True
1467,15,11,True
1468,15,12,True
1469,15,13,True
1470,15,14,True
1471,15,15,True
1472,15,16,True
1473,15,17,True
1474,15,18,True
1475,15,19,True
1476,15,20,True
1477,15,21,True
1478,15,22,True
1479,15,23,True
1480,15,24,True
1481,15,25,True
1482,15,26,True
1483,15,27,True
1484,15,28,True
1485,15,29,True
1486,15,30,True
1487,15,31,True
1488,15,32,True
1489,15,33,True
1490,15,34,True
1491,15,35,True
1492,15,36,True
1493,15,37,True
1494,15,38,True
1495,15,39,True
1496,15,40,True
1497,15,41,True
1498,15,42,True
1499,15,43,True
1500,15,44,True
1501,15,45,True
1502,15,46,True
1503,15,47,True
1504,15,48,True
1505,15,49,True
1506,15,50,True
1507,15,51,True
1508,15,52,True
1509,15,53,True
1510,15,54,True
1511,15,55,True
1512,15,56,True
1513,15,57,True
1514,15,58,True
1515,15,59,True
1516,15,60,True
1517,15,61,True
1518,15,62,True
1519,15,63,True
1520,15,64,True
1521,15,65,True
1522,15,66,True
1523,15,67,True
1524,15,68,True
1525,15,69,True
1526,15,70,True
1527,15,71,True
1528,15,72,True
1529,15,73,True
1530,15,74,True
1531,15,75,True
1532,15,76,True
1533,15,77,True
1534,15,78,True
1535,15,79,True
1536,15,80,True
1537,15,81,True
1538,15,82,True
1539,15,83,True
1540,15,84,True
1541,15,85,True
1542,15,86,True
1543,15,87,True
1544,15,88,True
1545,15,89,True
1546,15,90,True
1547,15,91,True
1548,15,92,True
1549,15,93,True
1550,15,94,True
1551,15,95,True
1552,15,96,True
1553,16,0,True
1554,16,1,True
1555,16,2,True
1556,16,3,True
1557,16,4,True
1558,16,5,True
1559,16,6,True
1560,16,7,True
1561,16,8,True
1562,16,9,True
1563,16,10,True
1564,16,11,True
1565,16,12,True
1566,16,13,True
1567,16,14,True
1568,16,15,True
1569,16,16,True
1570,16,17,True
1571,16,18,True
1572,16,19,True
1573,16,20,True
1574,16,21,True
1575,16,22,True
1576,16,23,True
1577,16,24,True
1578,16,25,True
1579,16,26,True
1580,16,27,True
1581,16,28,True
1582,16,29,True
1583,16,30,True
1584,16,31,True
1585,16,32,True
1586,16,33,True
1587,16,34,True
1588,16,35,True
1589,16,36,True
1590,16,37,True
1591,16,38,True
1592,16,39,True
1593,16,40,True
1594,16,41,True
1595,16,42,True
1596,16,43,True
1597,16,44,True
1598,16,45,True
1599,16,46,True
1600,16,47,True
1601,16,48,True
1602,16,49,True
1603,16,50,True
1604,16,51,True
1605,16,52,True
1606,16,53,True
1607,16,54,True
1608,16,55,True
1609,16,56,True
1610,16,57,True
1611,16,58,True
1612,16,59,True
1613,16,60,True
1614,16,61,True
1615,16,62,True
1616,16,63,True
1617,16,64,True
1618,16,65,True
1619,16,66,True
1620,16,67,True
1621,16,68,True
1622,16,69,True
1623,16,70,True
1624,16,71,True
1625,16,72,True
1626,16,73,True
1627,16,74,True
1628,16,75,True
1629,16,76,True
1630,16,77,True
1631,16,78,True
1632,16,79,True
1633,16,80,True
1634,16,81,True
1635,16,82,True
1636,16,83,True
1637,16,84,True
1638,16,85,True
1639,16,86,True
1640,16,87,True
1641,16,88,True
1642,16,89,True
1643,16,90,True
1644,16,91,True
1645,16,92,True
1646,16,93,True
1647,16,94,True
1648,16,95,True
1649,16,96,True
1650,17,0,True
1651,17,1,True
1652,17,2,True
1653,17,3,True
1654,17,4,True
1655,17,5,True
1656,17,6,True
1657,17,7,True
1658,17,8,True
1659,17,9,True
1660,17,10,True
